PhraseId,Sentiment
156061,4
156062,4
156063,3
156064,4
156065,4
156066,4
156067,4
156068,3
156069,4
156070,3
156071,3
156072,3
156073,3
156074,3
156075,3
156076,3
156077,4
156078,3
156079,3
156080,3
156081,3
156082,3
156083,3
156084,3
156085,3
156086,3
156087,3
156088,3
156089,3
156090,3
156091,3
156092,3
156093,3
156094,3
156095,3
156096,3
156097,3
156098,3
156099,3
156100,3
156101,3
156102,3
156103,3
156104,3
156105,3
156106,3
156107,3
156108,3
156109,3
156110,3
156111,3
156112,3
156113,3
156114,3
156115,3
156116,3
156117,3
156118,3
156119,3
156120,3
156121,3
156122,3
156123,3
156124,3
156125,3
156126,3
156127,3
156128,3
156129,3
156130,3
156131,3
156132,3
156133,3
156134,3
156135,3
156136,3
156137,3
156138,3
156139,3
156140,3
156141,3
156142,3
156143,3
156144,3
156145,3
156146,3
156147,3
156148,3
156149,3
156150,3
156151,3
156152,3
156153,3
156154,3
156155,3
156156,3
156157,3
156158,3
156159,3
156160,3
156161,3
156162,3
156163,3
156164,3
156165,3
156166,3
156167,3
156168,3
156169,3
156170,3
156171,3
156172,3
156173,3
156174,3
156175,3
156176,3
156177,3
156178,3
156179,3
156180,3
156181,3
156182,3
156183,3
156184,3
156185,3
156186,3
156187,3
156188,3
156189,3
156190,3
156191,3
156192,3
156193,3
156194,3
156195,3
156196,3
156197,3
156198,3
156199,3
156200,3
156201,3
156202,3
156203,3
156204,3
156205,3
156206,4
156207,3
156208,3
156209,3
156210,3
156211,3
156212,3
156213,3
156214,3
156215,3
156216,3
156217,3
156218,3
156219,3
156220,3
156221,3
156222,3
156223,3
156224,3
156225,3
156226,3
156227,3
156228,3
156229,3
156230,3
156231,3
156232,3
156233,3
156234,3
156235,3
156236,4
156237,3
156238,4
156239,4
156240,4
156241,3
156242,3
156243,4
156244,4
156245,4
156246,3
156247,3
156248,3
156249,3
156250,3
156251,3
156252,3
156253,3
156254,3
156255,3
156256,3
156257,3
156258,3
156259,3
156260,3
156261,3
156262,3
156263,3
156264,3
156265,3
156266,3
156267,3
156268,3
156269,3
156270,3
156271,3
156272,3
156273,3
156274,3
156275,3
156276,3
156277,3
156278,3
156279,3
156280,3
156281,3
156282,3
156283,4
156284,3
156285,3
156286,3
156287,3
156288,3
156289,4
156290,3
156291,3
156292,3
156293,3
156294,3
156295,3
156296,3
156297,3
156298,3
156299,3
156300,3
156301,3
156302,3
156303,3
156304,3
156305,3
156306,3
156307,3
156308,3
156309,3
156310,3
156311,3
156312,3
156313,3
156314,3
156315,3
156316,3
156317,3
156318,3
156319,3
156320,3
156321,3
156322,3
156323,3
156324,3
156325,3
156326,3
156327,3
156328,4
156329,4
156330,3
156331,3
156332,3
156333,4
156334,3
156335,3
156336,3
156337,3
156338,4
156339,4
156340,3
156341,3
156342,3
156343,3
156344,3
156345,3
156346,4
156347,4
156348,4
156349,4
156350,3
156351,3
156352,4
156353,4
156354,3
156355,4
156356,4
156357,4
156358,3
156359,3
156360,4
156361,3
156362,3
156363,3
156364,3
156365,3
156366,2
156367,3
156368,3
156369,3
156370,3
156371,3
156372,3
156373,3
156374,3
156375,3
156376,3
156377,3
156378,3
156379,3
156380,3
156381,3
156382,3
156383,3
156384,3
156385,3
156386,3
156387,3
156388,3
156389,3
156390,3
156391,3
156392,3
156393,3
156394,3
156395,3
156396,3
156397,3
156398,3
156399,3
156400,3
156401,3
156402,3
156403,3
156404,3
156405,4
156406,4
156407,4
156408,4
156409,3
156410,4
156411,4
156412,4
156413,3
156414,3
156415,3
156416,3
156417,4
156418,4
156419,4
156420,3
156421,3
156422,3
156423,3
156424,3
156425,3
156426,3
156427,3
156428,3
156429,3
156430,3
156431,3
156432,3
156433,3
156434,3
156435,3
156436,3
156437,3
156438,3
156439,3
156440,3
156441,3
156442,3
156443,3
156444,3
156445,3
156446,3
156447,3
156448,3
156449,3
156450,3
156451,3
156452,3
156453,3
156454,3
156455,3
156456,3
156457,3
156458,3
156459,3
156460,3
156461,3
156462,3
156463,3
156464,3
156465,3
156466,3
156467,3
156468,3
156469,3
156470,3
156471,4
156472,4
156473,3
156474,3
156475,3
156476,3
156477,3
156478,3
156479,3
156480,3
156481,3
156482,3
156483,3
156484,3
156485,3
156486,3
156487,3
156488,3
156489,3
156490,3
156491,3
156492,3
156493,3
156494,3
156495,3
156496,3
156497,3
156498,3
156499,3
156500,3
156501,3
156502,3
156503,3
156504,3
156505,3
156506,3
156507,3
156508,3
156509,3
156510,3
156511,3
156512,3
156513,3
156514,3
156515,3
156516,3
156517,3
156518,3
156519,3
156520,3
156521,3
156522,3
156523,3
156524,3
156525,3
156526,3
156527,3
156528,3
156529,3
156530,3
156531,3
156532,3
156533,3
156534,3
156535,3
156536,3
156537,3
156538,3
156539,3
156540,3
156541,3
156542,2
156543,3
156544,3
156545,3
156546,3
156547,3
156548,3
156549,3
156550,3
156551,3
156552,3
156553,3
156554,3
156555,3
156556,3
156557,3
156558,3
156559,3
156560,3
156561,3
156562,3
156563,3
156564,3
156565,3
156566,3
156567,3
156568,3
156569,3
156570,3
156571,3
156572,3
156573,3
156574,3
156575,3
156576,3
156577,3
156578,3
156579,3
156580,3
156581,3
156582,3
156583,3
156584,3
156585,3
156586,3
156587,3
156588,3
156589,3
156590,3
156591,3
156592,3
156593,3
156594,3
156595,3
156596,4
156597,3
156598,3
156599,3
156600,3
156601,3
156602,3
156603,3
156604,3
156605,3
156606,3
156607,3
156608,4
156609,4
156610,4
156611,3
156612,3
156613,3
156614,3
156615,3
156616,3
156617,3
156618,3
156619,3
156620,3
156621,3
156622,3
156623,3
156624,3
156625,3
156626,3
156627,3
156628,3
156629,3
156630,3
156631,3
156632,3
156633,3
156634,3
156635,3
156636,3
156637,3
156638,3
