PhraseId,Sentiment
201061,3
201062,3
201063,1
201064,3
201065,3
201066,3
201067,3
201068,3
201069,3
201070,3
201071,3
201072,3
201073,3
201074,3
201075,3
201076,3
201077,3
201078,3
201079,3
201080,3
201081,3
201082,3
201083,3
201084,3
201085,3
201086,3
201087,3
201088,3
201089,3
201090,3
201091,3
201092,3
201093,3
201094,3
201095,3
201096,3
201097,3
201098,3
201099,3
201100,3
201101,3
201102,3
201103,3
201104,3
201105,3
201106,3
201107,3
201108,3
201109,3
201110,3
201111,3
201112,3
201113,3
201114,3
201115,1
201116,3
201117,3
201118,3
201119,3
201120,1
201121,3
201122,3
201123,3
201124,3
201125,3
201126,3
201127,3
201128,3
201129,1
201130,3
201131,3
201132,3
201133,3
201134,3
201135,3
201136,3
201137,3
201138,3
201139,3
201140,3
201141,3
201142,3
201143,3
201144,3
201145,3
201146,3
201147,3
201148,3
201149,3
201150,3
201151,1
201152,3
201153,3
201154,3
201155,3
201156,3
201157,3
201158,3
201159,3
201160,3
201161,3
201162,1
201163,3
201164,3
201165,3
201166,3
201167,3
201168,3
201169,3
201170,3
201171,3
201172,3
201173,3
201174,3
201175,3
201176,3
201177,3
201178,3
201179,3
201180,3
201181,3
201182,3
201183,3
201184,3
201185,3
201186,3
201187,3
201188,3
201189,3
201190,3
201191,3
201192,3
201193,3
201194,1
201195,3
201196,3
201197,3
201198,3
201199,3
201200,3
201201,3
201202,3
201203,3
201204,3
201205,3
201206,3
201207,3
201208,3
201209,3
201210,3
201211,3
201212,3
201213,3
201214,3
201215,3
201216,3
201217,3
201218,3
201219,3
201220,3
201221,3
201222,3
201223,3
201224,3
201225,3
201226,3
201227,3
201228,3
201229,3
201230,3
201231,3
201232,3
201233,3
201234,3
201235,3
201236,3
201237,3
201238,3
201239,3
201240,3
201241,3
201242,3
201243,3
201244,3
201245,3
201246,3
201247,3
201248,3
201249,3
201250,3
201251,3
201252,3
201253,3
201254,3
201255,3
201256,3
201257,3
201258,3
201259,3
201260,3
201261,3
201262,3
201263,3
201264,3
201265,3
201266,3
201267,3
201268,3
201269,3
201270,3
201271,3
201272,3
201273,3
201274,3
201275,3
201276,3
201277,3
201278,3
201279,3
201280,3
201281,3
201282,3
201283,3
201284,3
201285,3
201286,3
201287,3
201288,3
201289,3
201290,3
201291,3
201292,3
201293,3
201294,3
201295,3
201296,3
201297,3
201298,3
201299,3
201300,3
201301,3
201302,3
201303,3
201304,3
201305,1
201306,3
201307,3
201308,3
201309,3
201310,3
201311,3
201312,3
201313,3
